                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.67061,                0.54215,                0.97063,                0.92861,                0.91364,                0.95542,                0.80003,                0.74958,                0.43062,                 1.0358,              0.0087328,              0.0087328,              0.0087328
                     67,                0.69118,                0.56025,                0.99981,                0.90894,                 0.8997,                0.94035,                0.79008,                0.77157,                0.50426,                 1.0496,               0.008713,               0.008713,               0.008713
                     68,                0.68081,                 0.5507,                0.98271,                0.93566,                0.91594,                0.94982,                 0.8012,                0.71907,                0.43221,                 1.0176,              0.0086932,              0.0086932,              0.0086932
                     69,                0.68629,                0.56063,                0.97763,                0.90954,                0.90888,                  0.935,                0.79179,                0.72637,                 0.4599,                 1.0395,              0.0086734,              0.0086734,              0.0086734
                     70,                0.68243,                0.55221,                0.98876,                0.90905,                0.89587,                0.94331,                0.78812,                0.76916,                0.46824,                 1.0496,              0.0086536,              0.0086536,              0.0086536
                     71,                 0.6892,                0.54688,                0.98551,                0.90436,                0.93627,                0.94813,                0.79564,                0.77967,                0.47601,                 1.0616,              0.0086338,              0.0086338,              0.0086338
                     72,                0.67615,                0.53354,                0.98225,                0.95063,                0.93277,                0.95001,                0.79067,                0.76373,                0.45299,                 1.0485,               0.008614,               0.008614,               0.008614
                     73,                0.67743,                0.53528,                0.97638,                0.93095,                0.93707,                0.94868,                0.79406,                0.73997,                0.41113,                 1.0392,              0.0085942,              0.0085942,              0.0085942
                     74,                0.65918,                0.51943,                 0.9782,                0.93001,                0.92155,                0.94423,                  0.799,                0.79832,                0.43411,                 1.0644,              0.0085744,              0.0085744,              0.0085744
                     75,                0.67513,                0.54192,                0.97417,                0.92548,                0.94223,                0.96527,                0.81625,                0.71869,                0.40506,                  1.022,              0.0085546,              0.0085546,              0.0085546
                     76,                 0.6696,                0.53204,                0.97354,                0.90823,                0.92672,                0.94358,                0.79608,                0.73777,                0.51838,                 1.0321,              0.0085348,              0.0085348,              0.0085348
                     77,                0.65456,                0.52322,                0.96195,                0.90722,                 0.9525,                  0.948,                0.80135,                0.75374,                0.45113,                 1.0454,               0.008515,               0.008515,               0.008515
                     78,                0.64737,                0.50166,                0.96445,                 0.9186,                0.94577,                 0.9474,                0.80357,                0.71098,                0.39665,                  1.017,              0.0084952,              0.0084952,              0.0084952
                     79,                0.65475,                 0.5215,                0.96802,                0.94046,                 0.9453,                0.95486,                0.79838,                0.70964,                0.44758,                 1.0212,              0.0084754,              0.0084754,              0.0084754
                     80,                0.66204,                0.51766,                0.97135,                0.93453,                 0.9298,                0.95355,                0.80681,                0.70123,                0.42892,                 1.0088,              0.0084556,              0.0084556,              0.0084556
                     81,                0.66223,                0.50236,                0.97125,                0.93307,                0.92579,                0.95125,                0.79244,                0.75134,                0.41109,                 1.0317,              0.0084358,              0.0084358,              0.0084358
                     82,                0.64815,                0.50873,                 0.9654,                0.94348,                0.93342,                0.95648,                 0.8002,                 0.7088,                0.40269,                 1.0093,               0.008416,               0.008416,               0.008416
                     83,                0.65631,                0.51481,                0.96903,                0.91007,                0.94016,                0.95118,                0.80522,                0.70989,                 0.4261,                 1.0204,              0.0083962,              0.0083962,              0.0083962
                     84,                0.64796,                0.50623,                0.96935,                0.95236,                0.91096,                0.95249,                0.80378,                0.73241,                0.42341,                 1.0237,              0.0083764,              0.0083764,              0.0083764
                     85,                0.64894,                0.50832,                0.96452,                0.93444,                0.93778,                0.95706,                0.80633,                0.75077,                0.45109,                 1.0489,              0.0083566,              0.0083566,              0.0083566
                     86,                0.66968,                0.53815,                0.97257,                0.91684,                0.94331,                0.95261,                0.80955,                0.73383,                0.42013,                 1.0342,              0.0083368,              0.0083368,              0.0083368
                     87,                0.64827,                0.51114,                0.96208,                 0.9527,                0.91674,                0.95039,                0.81051,                0.72092,                0.40874,                 1.0224,               0.008317,               0.008317,               0.008317
                     88,                0.64427,                0.49933,                0.96218,                 0.9438,                0.94323,                0.96505,                0.80829,                0.76438,                0.40274,                 1.0534,              0.0082972,              0.0082972,              0.0082972
                     89,                0.64632,                0.51984,                0.96802,                0.90182,                0.93515,                0.95919,                0.80868,                 0.7318,                0.42112,                 1.0363,              0.0082774,              0.0082774,              0.0082774
                     90,                0.64692,                0.51401,                0.96385,                0.92207,                 0.9442,                0.95911,                0.80479,                0.79208,                0.41885,                 1.0713,              0.0082576,              0.0082576,              0.0082576
                     91,                0.65782,                0.50318,                0.96938,                0.91981,                0.92732,                0.95383,                0.79663,                0.74545,                0.42468,                  1.024,              0.0082378,              0.0082378,              0.0082378
                     92,                0.62653,                0.49893,                0.96145,                0.90411,                0.94093,                0.95391,                0.79649,                0.77409,                0.45666,                 1.0599,               0.008218,               0.008218,               0.008218
                     93,                 0.6536,                0.51321,                0.96737,                0.92328,                0.92927,                0.94537,                0.80298,                 0.7487,                0.41998,                 1.0324,              0.0081982,              0.0081982,              0.0081982
                     94,                0.62504,                0.50967,                0.95535,                0.92268,                0.93729,                0.95531,                0.80889,                0.72814,                0.40462,                 1.0137,              0.0081784,              0.0081784,              0.0081784
